TREAT,AGE,EDUC,MARR,EARNINGS
0,40,8,1,53198.2
0,54,0,1,20540.4
0,47,10,1,55710.3
0,32,8,1,59109.1
0,47,8,1,38568.7
0,32,10,1,36943.2
0,55,8,1,51580
0,29,10,1,31032.3
0,46,11,1,35465.4
0,48,6,1,36943.2
0,48,6,1,36943.2
0,49,8,1,23643.6
0,50,11,1,47287.3
0,55,11,1,32177.5
0,37,10,1,17732.7
0,37,10,1,17732.7
0,50,11,1,31032.3
0,50,11,1,31032.3
0,42,11,1,38420.9
0,31,10,1,44331.8
0,48,10,1,38568.7
0,49,6,1,26894.6
0,51,9,0,39898.6
0,52,10,1,39159.8
0,31,11,1,36943.2
0,46,11,1,39898.6
0,46,11,1,39898.6
0,35,7,1,25121.4
0,49,8,1,2955.45
0,42,11,1,54675.9
0,38,8,1,33987.7
0,32,10,1,29554.5
0,42,9,1,33987.7
0,42,9,1,33987.7
0,54,11,1,36943.2
0,51,8,1,32362.2
0,47,11,1,36943.2
0,48,8,1,28076.8
0,48,8,1,28076.8
0,49,8,1,38420.9
0,45,5,1,31477.1
0,52,11,1,28076.8
0,21,10,1,44331.8
0,37,11,1,36943.2
0,55,11,1,28076.8
0,42,9,0,35465.4
0,38,9,1,47287.3
0,48,9,1,31032.3
0,33,10,1,36499.8
0,30,11,1,36943.2
0,44,10,1,23643.6
0,40,11,1,31032.3
0,28,10,1,22904.8
0,48,9,1,23052.5
0,37,10,1,39898.6
0,49,7,1,21341.3
0,46,10,1,25677
0,36,10,1,39159.8
0,48,8,1,28076.8
0,40,11,1,13299.5
0,55,10,1,28815.7
0,45,10,1,36943.2
0,42,9,1,26377.4
0,42,9,1,26377.4
0,47,7,1,28925
0,49,8,1,27337.9
0,50,10,1,33987.7
0,46,11,1,16993.9
0,50,8,0,26599.1
0,46,11,1,36943.2
0,31,8,1,26953.7
0,42,11,1,23327.4
0,44,6,1,0
0,48,10,0,33043.4
0,40,8,1,26155.8
0,49,8,1,16255
0,47,8,1,19062.7
0,44,8,1,25860.2
0,51,11,1,26599.1
0,49,11,1,25121.4
0,40,8,1,16255
0,38,9,1,47287.3
0,49,11,1,481.739
0,48,8,1,23643.6
0,44,6,1,11821.8
0,32,9,1,24803.6
0,48,8,1,13299.5
0,49,6,1,29111.2
0,30,11,1,33248.8
0,47,7,1,25860.2
0,32,10,1,22904.8
0,52,9,1,19210.4
0,54,3,1,30549
0,28,11,1,35465.4
0,37,8,1,23145.6
0,30,9,1,23791.4
0,48,9,1,26968.5
0,29,10,1,13299.5
0,52,11,1,0
0,30,10,1,28047.3
0,51,8,1,27337.9
0,51,8,1,22165.9
0,51,11,1,27190.2
0,50,8,1,26155.8
0,23,10,1,25121.4
0,24,10,1,29678.7
0,42,9,1,26303.5
0,54,8,1,19210.4
0,30,9,1,26599.1
0,42,8,1,26569.5
0,42,6,1,23643.6
0,42,6,1,23643.6
0,42,6,1,23643.6
0,53,5,1,20215.3
0,28,11,1,21796.5
0,48,10,1,0
0,31,10,1,15220.6
0,47,10,1,35365
0,30,11,1,22018.1
0,32,10,1,33987.7
0,49,9,1,29554.5
0,48,10,1,27042.4
0,49,10,1,24086.9
0,28,9,1,22904.8
0,31,9,1,0
0,48,11,1,16255
0,48,11,1,16255
0,49,5,1,20392.6
0,51,10,1,25860.2
0,51,10,1,25860.2
0,47,10,1,19210.4
0,39,7,1,23643.6
0,43,9,1,11821.8
0,35,10,1,22757
0,49,8,0,44331.8
0,25,8,1,25121.4
0,39,9,1,20688.2
0,55,10,1,14777.3
0,42,10,1,22165.9
0,46,11,1,13299.5
0,37,8,1,23643.6
0,25,10,1,23495.9
0,53,8,1,23195.9
0,46,10,1,21131.5
0,43,11,1,26599.1
0,41,8,1,19633.1
0,38,11,1,19210.4
0,40,11,1,27485.7
0,36,10,1,14481.7
0,52,5,1,19210.4
0,50,7,1,0
0,48,8,1,19210.4
0,53,10,1,4433.18
0,23,10,1,17732.7
0,27,7,1,31032.3
0,24,10,1,29554.5
0,41,9,1,20304
0,22,11,1,27929
0,38,8,1,23643.6
0,38,8,1,23643.6
0,53,7,1,22165.9
0,38,8,1,30207.7
0,52,8,1,17289.4
0,52,9,1,24045.6
0,50,10,1,29554.5
0,22,10,1,0
0,36,8,1,16993.9
0,36,8,1,16993.9
0,33,10,1,26599.1
0,51,11,1,26599.1
0,35,9,1,8866.36
0,49,4,1,2955.45
0,47,10,1,21722.6
0,47,10,1,21722.6
0,40,10,1,20688.2
0,40,10,1,20688.2
0,20,9,1,23643.6
0,23,8,1,12117.4
0,44,8,1,28076.8
0,23,10,1,23643.6
0,32,8,1,20688.2
0,54,11,1,18102.2
0,38,9,1,20688.2
0,46,11,1,19210.4
0,47,10,1,30884.5
0,26,8,1,886.636
0,34,6,1,4876.5
0,44,11,1,14555.6
0,18,9,1,17584.9
0,35,9,1,17732.7
0,29,8,1,11821.8
0,33,8,1,22165.9
0,46,10,1,5910.91
0,21,9,1,3251
0,22,11,1,13299.5
0,34,7,0,19432.1
0,31,8,1,16210.7
0,23,11,1,5910.91
0,47,11,1,17732.7
0,20,10,1,17880.5
0,28,9,1,17957.3
0,33,10,1,12560.7
0,21,11,1,10344.1
0,22,11,0,0
0,46,8,1,16255
0,45,4,1,28076.8
0,24,10,1,22904.8
0,30,11,1,23052.5
0,30,11,1,23052.5
0,35,10,1,16606.7
0,31,11,1,17732.7
0,37,8,1,36943.2
0,18,10,1,24973.6
0,21,9,1,1773.27
0,47,10,1,22165.9
0,47,10,1,22165.9
0,50,8,1,17437.2
0,46,8,1,17732.7
0,43,10,1,19709.9
0,21,10,1,20141.4
0,24,9,1,36943.2
0,54,7,1,18841
0,53,6,1,14777.3
0,46,7,1,9605.22
0,46,4,1,8866.36
0,18,10,1,20688.2
0,49,8,0,0
0,27,9,1,15516.1
0,34,6,1,16255
0,30,9,1,8866.36
0,20,9,1,20614.3
0,46,8,0,10048.5
0,34,11,1,19210.4
0,50,7,1,17732.7
0,50,7,1,17732.7
0,43,3,1,14038.4
0,28,9,0,19210.4
0,45,4,1,17686.9
0,29,9,1,25860.2
0,31,10,1,16255
0,20,11,1,0
0,24,11,1,14777.3
0,38,11,1,28076.8
0,49,10,1,8423.04
0,19,8,1,18539.6
0,39,8,1,16255
0,46,8,1,14186.2
0,51,8,1,0
0,21,11,1,0
0,40,10,1,21427
0,40,10,1,21427
0,54,8,1,8866.36
0,54,8,1,8866.36
0,25,9,1,16255
0,23,11,1,26599.1
0,52,4,1,14422.6
0,53,7,1,13299.5
0,53,8,1,14843.8
0,28,11,1,20392.6
0,44,9,1,16373.2
0,28,6,1,10048.5
0,32,7,1,19613.9
0,45,3,1,23643.6
0,52,5,1,14777.3
0,20,11,0,36943.2
0,52,8,1,8748.14
0,21,10,1,7249.73
0,31,11,1,20688.2
0,52,10,1,23643.6
0,37,11,1,0
0,22,11,1,8866.36
0,39,7,1,0
0,19,11,1,27781.3
0,20,11,0,14777.3
0,40,10,0,15368.4
0,41,9,1,17732.7
0,30,8,1,14333.9
0,35,7,1,13447.3
0,35,7,1,13447.3
0,25,11,1,8204.34
0,28,9,1,17732.7
0,44,8,1,12412.9
0,20,11,1,14038.4
0,33,9,1,8866.36
0,33,9,1,8866.36
0,37,11,1,0
0,49,6,1,13595.1
0,49,6,1,13595.1
0,45,11,1,0
0,45,11,1,0
0,53,8,1,7240.86
0,30,9,1,12847.4
0,53,4,1,7388.63
0,26,10,0,17732.7
0,51,8,1,0
0,41,9,1,8718.59
0,45,0,1,10344.1
0,34,10,1,11821.8
0,43,9,1,10344.1
0,48,8,1,3073.67
0,48,8,1,3073.67
0,53,2,1,0
0,46,10,1,10166.8
0,46,10,1,10166.8
0,27,9,1,19210.4
0,31,8,1,20688.2
0,35,8,1,13299.5
0,23,9,1,11891.3
0,21,11,0,13151.8
0,37,8,1,14777.3
0,33,10,1,24825.8
0,54,10,1,19210.4
0,42,6,1,11821.8
0,19,10,1,23643.6
0,29,8,1,9605.22
0,28,8,1,15146.7
0,39,7,1,0
0,25,10,1,8866.36
0,44,6,1,17023.4
0,19,10,1,9753
0,47,8,1,1477.73
0,27,6,1,13299.5
0,21,11,1,17732.7
0,37,7,1,5172.04
0,24,11,1,25121.4
0,43,11,1,22165.9
0,38,7,1,11821.8
0,34,10,1,26599.1
0,28,8,1,12560.7
0,27,10,1,11821.8
0,49,11,1,9457.45
0,47,4,1,20512.3
0,20,10,1,16255
0,23,9,1,14777.3
0,46,9,1,13299.5
0,25,10,1,13299.5
0,27,8,1,15072.8
0,33,10,1,0
0,26,8,1,9900.77
0,40,11,1,1477.73
0,32,10,1,11082.9
0,22,11,1,15072.8
0,39,8,1,0
0,49,5,1,11821.8
0,41,10,1,11821.8
0,29,10,1,0
0,45,2,1,4433.18
0,22,11,1,7388.63
0,20,11,1,1182.18
0,55,8,1,4255.85
0,22,11,1,2216.59
0,43,10,1,20688.2
0,25,9,0,12117.4
0,25,8,1,8866.36
0,20,8,0,7240.86
0,20,9,1,13299.5
0,52,8,1,6797.54
0,19,10,0,14777.3
0,19,9,1,10639.6
0,51,7,1,11082.9
0,47,4,1,24641.1
0,18,11,0,2364.36
0,23,6,1,8127.5
0,19,11,0,8570.81
0,40,10,1,7248.25
0,20,11,0,13299.5
0,23,11,0,8127.5
0,51,7,1,0
0,19,11,0,14777.3
0,52,0,1,295.545
0,20,10,0,10344.1
0,55,7,0,0
0,42,8,1,8866.36
0,42,8,1,8866.36
0,20,11,1,2955.45
0,20,10,0,9309.68
0,38,2,0,2955.45
0,37,9,0,1152.63
0,54,8,1,295.545
0,28,11,1,118218
0,49,9,1,69453.1
0,34,11,1,14777.3
0,53,6,1,45809.5
0,53,8,1,0
0,46,8,1,0
0,46,8,1,0
0,45,9,1,4063.75
0,41,8,1,0
0,41,8,1,0
0,22,9,1,16846.1
0,48,6,1,0
0,50,10,1,0
0,54,10,1,0
0,42,8,1,0
0,31,9,1,0
0,48,11,0,0
0,53,9,1,0
0,41,8,1,7093.09
0,50,8,1,0
0,52,8,1,0
0,33,11,1,0
0,33,11,1,0
0,50,11,1,10344.1
0,53,8,1,0
0,40,8,1,0
0,46,6,1,0
0,52,7,1,0
0,53,7,1,0
0,38,11,1,0
0,40,7,1,8866.36
0,40,7,1,8866.36
0,36,9,1,0
0,48,11,1,11821.8
0,37,10,1,0
0,40,8,1,0
0,45,9,1,0
0,52,8,1,0
0,41,11,1,14481.7
0,40,10,1,0
0,54,9,1,0
0,46,9,1,0
0,48,9,1,0
0,46,9,1,0
0,45,8,1,0
0,41,8,1,0
0,55,8,1,0
0,47,8,0,0
0,53,7,0,0
0,53,6,1,0
0,45,12,1,88663.6
0,42,16,1,100485
0,28,16,1,70930.9
0,50,16,1,33987.7
0,49,16,1,73886.3
0,55,17,1,88663.6
0,37,17,1,110829
0,47,16,1,97677.7
0,32,17,1,99007.7
0,51,17,1,0
0,48,15,1,85708.1
0,49,12,1,0
0,50,14,1,51720.4
0,47,16,1,73886.3
0,42,17,1,62064.5
0,28,15,1,66497.7
0,48,16,1,62064.5
0,53,16,1,67236.6
0,47,17,1,0
0,51,12,0,71669.7
0,40,16,1,66497.7
0,52,17,1,59109.1
0,30,13,1,70930.9
0,46,16,1,63542.2
0,47,16,1,78319.5
0,47,16,1,78319.5
0,41,17,1,82752.7
0,39,14,1,74625.2
0,38,16,1,41376.3
0,44,17,1,53198.2
0,38,16,1,38420.9
0,36,17,1,56153.6
0,47,14,1,32510
0,48,14,1,57631.3
0,46,12,1,73886.3
0,48,16,1,73886.3
0,48,16,1,73886.3
0,42,16,1,53641.5
0,41,17,1,50242.7
0,33,17,1,76841.8
0,32,12,1,40878.4
0,52,16,1,63837.8
0,45,15,1,45809.5
0,28,16,1,36943.2
0,47,17,1,54675.9
0,32,16,1,0
0,44,17,1,53198.2
0,28,16,1,56153.6
0,38,13,1,25121.4
0,47,16,1,54675.9
0,42,17,0,48765
0,44,12,1,41376.3
0,37,17,1,50242.7
0,36,14,1,44331.8
0,33,17,1,46105.1
0,43,16,1,52969.1
0,43,17,1,51424.9
0,37,16,1,39898.6
0,55,16,1,35110.8
0,47,16,1,65020
0,34,16,1,54675.9
0,26,16,1,45809.5
0,45,12,1,46548.4
0,39,17,1,44331.8
0,48,16,1,48765
0,39,17,1,51720.4
0,41,13,1,38420.9
0,44,14,1,50242.7
0,37,17,1,49503.8
0,55,16,1,47878.3
0,55,16,1,47878.3
0,37,17,1,44331.8
0,44,17,1,39898.6
0,54,15,1,88663.6
0,54,15,1,88663.6
0,33,13,1,0
0,53,12,1,50242.7
0,49,17,1,44331.8
0,49,17,1,44331.8
0,49,17,1,42854.1
0,50,12,1,8866.36
0,52,17,1,70930.9
0,52,17,1,70930.9
0,34,13,1,41376.3
0,47,12,1,0
0,46,17,1,36943.2
